,id,name,positive_count,negative_count,neutral_count,positive_values,negative_values,neutral_values
0,224517,Brass: Birmingham,2162,890,784,1686.5857102274895,562.9474938809872,567.607346534729
1,161936,Pandemic Legacy: Season 1,3424,1335,807,2753.8470543026924,891.0502565205097,543.871523141861
2,174430,Gloomhaven,4052,2257,1398,3168.175465911627,1459.651128321886,949.1069539189339
3,342942,Ark Nova,1899,1028,775,1435.8439967036247,649.9842830896378,516.3303357064724
4,233078,Twilight Imperium: Fourth Edition,1380,685,425,1070.431633412838,424.35453057289124,281.38977962732315
5,316554,Dune: Imperium,2172,905,855,1696.646231353283,559.5377819538116,592.4063009619713
6,167791,Terraforming Mars,4787,2510,1941,3721.4095845520496,1683.3363360762596,1337.0585829615593
7,115746,War of the Ring: Second Edition,1379,469,557,1085.0698356032372,284.9558957219124,382.52031794190407
8,187645,Star Wars: Rebellion,1821,765,608,1427.3926348090172,476.6215531229973,411.69025817513466
9,291457,Gloomhaven: Jaws of the Lion,1754,714,606,1365.200653553009,453.62580490112305,427.95299595594406
0,2223,UNO,1707,812,970,1267.8382885158062,592.9178346097469,633.9069083333015
0,199792,Everdell,2631,874,1058,2086.8162736296654,558.2833794057369,764.798805475235
